单元,中文片名,英文片名,导演,制片国/地区,时长,日期,放映时间,影院,影厅,影院地址,见面会
世界万象,适合我的酒店,THE HOTEL OF MY DREAM,堤幸彦,日本,99分钟,6月13日,15:30,曹杨影城,1号4K激光厅,普陀区兰溪路125号2楼,
世界万象,适合我的酒店,THE HOTEL OF MY DREAM,堤幸彦,日本,99分钟,6月16日,13:00,天山电影院-宛平剧院影城,1号厅,徐汇区中山南二路859号,
世界万象,适合我的酒店,THE HOTEL OF MY DREAM,堤幸彦,日本,99分钟,6月17日,15:30,天山电影院-虹桥艺术中心旗舰店,剧院厅,长宁区天山路888号,
世界万象,日落日出,SUNSET SUNRISE,岸善幸,日本,139分钟,6月13日,18:00,曹杨影城,1号4K激光厅,普陀区兰溪路125号2楼,
世界万象,日落日出,SUNSET SUNRISE,岸善幸,日本,139分钟,6月19日,18:00,天山电影院-虹桥艺术中心旗舰店,剧院厅,长宁区天山路888号,
世界万象,日落日出,SUNSET SUNRISE,岸善幸,日本,139分钟,6月21日,18:00,艺海剧院,大剧场,静安区江宁路466号,
华语新风,月光里的男孩,TASHI,达杰丁增,中国,104分钟,6月15日,18:00,上海影城SHO,9号厅REALD CINEMA,长宁区新华路160号,★
华语新风,月光里的男孩,TASHI,达杰丁增,中国,104分钟,6月16日,15:30,上海大光明电影院,2号厅,黄浦区南京西路216号,
华语新风,月光里的男孩,TASHI,达杰丁增,中国,104分钟,6月16日,18:30,SFC上影百联影城（八佰伴IMAX店）,2号厅,浦东新区张杨路501号10楼,
华语新风,月光里的男孩,TASHI,达杰丁增,中国,104分钟,6月17日,20:40,上海百丽宫影城（环贸iapm店）,激光6号厅,徐汇区淮海中路999号L6-601,
向大师致敬,野火 (4K),FIRES ON THE PLAIN (4K),市川昆,日本,104分钟,6月15日,18:30,沪北电影院,1号厅,静安区洛川东路500号,
向大师致敬,野火 (4K),FIRES ON THE PLAIN (4K),市川昆,日本,104分钟,6月17日,18:30,兰心大戏院,观众厅,黄浦区茂名南路57号,
向大师致敬,野火 (4K),FIRES ON THE PLAIN (4K),市川昆,日本,104分钟,6月19日,15:30,曹杨影城,1号4K激光厅,普陀区兰溪路125号2楼,
向大师致敬,野火 (4K),FIRES ON THE PLAIN (4K),市川昆,日本,104分钟,6月20日,13:00,和平影都,杜比全景声厅,黄浦区西藏中路290号,
向大师致敬,野火 (4K),FIRES ON THE PLAIN (4K),市川昆,日本,104分钟,6月21日,18:30,久事·上海商城剧院,剧院正厅,南京西路1376号4楼,
向大师致敬,细雪,THE MAKIOKA SISTERS,市川昆,日本,120分钟,6月14日,15:30,天山电影院-虹桥艺术中心旗舰店,剧院厅,长宁区天山路888号,
向大师致敬,细雪,THE MAKIOKA SISTERS,市川昆,日本,120分钟,6月14日,15:30,艺海剧院,大剧场,静安区江宁路466号,
向大师致敬,细雪,THE MAKIOKA SISTERS,市川昆,日本,120分钟,6月15日,15:30,上海影城SHO,1号厅杜比剧场,长宁区新华路160号,
向大师致敬,细雪,THE MAKIOKA SISTERS,市川昆,日本,120分钟,6月18日,15:30,久事·上海商城剧院,剧院正厅,南京西路1376号4楼,
向大师致敬,细雪,THE MAKIOKA SISTERS,市川昆,日本,120分钟,6月21日,15:30,上海大光明电影院,1号厅,黄浦区南京西路216号,
金爵参赛片,女儿,THE DAUGHTER,普里亚·卡卡文德,伊朗,97分钟,6月16日,20:40,上海影城SHO,2号厅Onyx,长宁区新华路160号,★
